BataryaGucu,Bluetooth,MikroislemciHizi,CiftHat,OnKameraMP,4G,DahiliBellek,Kalinlik,Agirlik,CekirdekSayisi,ArkaKameraMP,CozunurlukYukseklik,CozunurlukGenislik,RAM,BataryaOmru,3G,Dokunmatik,WiFi,FiyatAraligi,Renk
1063,0,2.5,1,0,0,31,0.9,95,6,10,295,935,961,5,0,0,1,0,0
538,1,1.1,0,0,0,25,0.3,163,7,7,455,537,2215,17,0,0,0,3,0
1074,1,2.4,0,2,0,9,0.9,103,6,14,946,952,1948,18,0,0,0,3,5
826,1,0.5,0,0,0,57,0.5,135,2,0,354,530,323,7,0,1,0,0,11
801,0,2.2,0,2,1,63,0.4,165,7,4,650,879,1617,19,1,1,0,3,8
1807,0,0.5,0,2,0,61,0.1,134,6,6,1734,1968,3726,15,0,1,1,2,0
1271,0,0.5,1,12,1,32,0.1,113,7,15,1350,1949,445,14,1,1,0,0,9
860,0,1.3,0,1,0,49,0.7,141,6,13,692,979,3869,20,0,0,0,2,5
511,0,3,0,5,0,34,0.9,125,8,13,149,1285,3265,14,0,1,1,1,11
1656,0,1.6,0,0,1,16,1,117,7,2,320,899,2856,20,0,0,0,1,4
1575,1,2.5,0,0,0,11,0.2,185,7,20,492,818,2182,17,0,0,1,1,5
1417,0,2.7,1,2,0,56,0.9,114,6,4,494,1649,590,6,0,1,0,0,3
606,1,2.5,1,1,0,53,0.2,146,4,2,465,1152,1223,7,0,1,1,0,0
1202,0,2.4,0,0,1,19,0.1,122,2,1,404,1742,595,3,1,1,1,0,7
1972,1,1.2,0,0,1,37,0.7,102,2,1,715,1648,2870,17,1,1,1,2,3
1483,0,2.2,1,3,0,53,0.7,169,5,11,291,651,1744,10,0,1,1,3,2
1159,1,1.5,1,3,1,36,0.4,104,4,8,717,1206,2115,18,1,1,1,1,8
627,1,1.8,1,2,1,20,0.8,142,3,8,211,507,896,14,1,1,1,0,0
1694,0,0.6,1,0,0,34,0.3,102,7,7,377,549,2298,2,0,0,1,1,6
1254,1,1.2,0,2,1,50,0.7,108,5,6,462,1013,3959,17,0,0,1,2,8
1365,1,0.6,1,0,0,31,0.3,125,4,0,293,970,1300,13,0,1,0,0,11
851,1,2.3,0,7,0,54,1,101,2,9,788,1007,1005,14,0,1,0,0,2
718,1,0.7,0,0,0,21,0.8,88,1,7,518,830,1754,9,0,1,0,3,0
614,0,0.7,1,4,0,51,0.1,178,7,7,1012,1040,2854,12,0,1,0,1,3
1002,1,2.6,0,7,1,27,0.1,146,1,10,115,1111,1295,17,0,1,0,0,1
1063,0,1.1,1,0,0,26,0.8,101,5,2,1208,1232,3809,5,0,1,0,2,8
797,1,2.2,0,0,1,37,0.9,144,7,2,206,1167,2216,6,0,1,1,3,11
1678,1,2.1,1,3,0,64,0.9,134,3,11,436,536,278,10,0,0,1,0,8
958,0,1.6,1,9,0,60,0.4,200,1,12,730,751,1417,19,0,1,0,0,10
569,1,0.6,0,2,1,39,0.1,184,8,9,389,739,2811,7,0,1,0,3,3
1062,0,2.5,0,6,1,10,0.9,160,1,13,1596,1807,,16,1,1,0,2,4
622,1,0.7,1,0,0,9,0.3,127,2,0,98,511,3916,5,0,1,0,1,10
717,1,1.1,0,2,0,14,0.1,99,8,6,1878,1981,629,20,0,1,1,0,1
891,1,0.5,0,9,0,25,0.3,196,2,19,375,1724,2073,10,0,1,0,3,0
1546,0,1.6,0,2,0,27,0.7,124,2,6,1138,1491,267,16,0,0,1,0,0
676,1,2.2,1,1,0,39,0.2,84,1,5,864,1011,2064,6,0,1,1,3,1
1531,1,2,1,0,0,60,0.4,162,6,1,625,765,2524,7,0,1,1,1,0
1869,1,2.6,1,0,0,30,0.4,152,1,13,163,874,1375,19,0,1,1,3,6
1317,1,1.5,1,6,1,12,0.1,154,2,9,431,542,425,11,0,0,0,0,5
1986,1,0.5,0,3,0,51,0.1,165,8,20,282,1358,1614,3,0,0,0,3,0
771,0,0.5,1,3,1,25,1,86,4,6,327,922,770,20,1,0,1,0,11
1450,1,2.1,1,1,1,31,0.6,114,5,4,1573,1639,794,9,1,0,0,3,6
1898,1,1.8,0,3,0,56,0.2,185,7,4,444,739,2114,19,0,0,0,1,11
848,0,2.8,1,1,1,8,0.1,103,7,3,7,1294,436,15,0,0,0,0,7
1039,0,2.7,1,11,1,56,0.3,125,8,13,497,618,3105,5,1,0,0,1,10
1100,0,1.6,1,12,1,15,0.1,112,8,14,919,1344,757,16,0,0,0,0,5
1442,1,0.6,0,1,1,27,0.4,127,5,8,266,642,991,7,0,1,1,0,1
1589,0,1.4,1,3,0,26,0.1,100,8,16,1673,1759,3970,18,0,1,0,2,6
1112,0,0.5,0,1,1,53,0.6,121,4,16,234,739,3655,20,0,0,1,2,8
1002,1,0.8,0,0,0,35,0.5,83,2,4,1345,1416,1726,19,0,1,0,3,3
1719,0,2,1,0,1,12,0.3,122,8,7,240,904,462,5,1,1,1,0,9
1339,0,2.3,0,0,1,40,0.1,123,2,1,212,1269,2382,7,0,1,0,1,4
1165,0,2.4,1,11,1,41,0.2,178,6,12,564,831,764,15,0,1,1,0,7
1521,0,1.6,1,5,0,62,0.3,143,1,9,678,1630,3555,19,0,1,1,2,8
868,1,1.7,1,0,1,30,0.8,83,4,0,276,1026,1653,17,0,1,1,3,0
1361,0,1.4,1,1,1,47,1,169,5,2,881,1382,2495,16,1,1,0,1,5
816,1,3,0,2,1,9,0.1,117,1,3,1196,1651,3851,14,0,1,0,2,0
1515,0,2.1,0,4,0,24,0.9,176,5,6,747,1247,3104,20,0,1,1,2,0
911,0,2.9,1,0,1,46,0.1,181,5,1,461,670,363,17,1,0,1,0,11
1110,1,1.5,1,4,0,41,0.1,152,3,16,800,1455,2572,16,0,1,0,1,11
1940,0,0.9,0,4,1,17,0.7,93,5,7,112,858,2297,8,1,0,1,1,7
601,0,1.4,1,4,0,4,0.1,154,4,13,356,765,532,10,0,0,0,0,2
825,0,0.5,0,7,1,52,0.9,130,3,10,597,863,3534,6,1,0,1,2,1
1403,0,2.5,0,3,1,62,0.9,90,4,13,217,1623,921,18,0,1,1,0,3
1602,0,2.8,0,4,0,38,0.7,114,3,20,466,788,1037,20,0,1,1,0,7
823,0,0.5,1,0,1,39,0.4,187,8,4,630,888,294,11,1,1,0,0,0
888,1,2.6,0,2,0,33,0.4,198,2,17,327,1683,3407,20,0,1,1,2,4
1996,1,2.5,1,5,0,51,0.4,122,4,9,671,1445,2236,12,0,1,0,1,1
1438,0,1.8,1,3,1,16,0.6,169,8,7,859,867,2246,15,1,1,1,1,8
1218,1,1.8,0,1,0,14,0.5,147,3,4,229,616,398,5,0,1,1,0,2
1980,1,0.5,0,2,0,29,0.8,177,1,13,312,1910,3865,18,0,1,1,2,9
1949,1,2.6,0,4,1,47,0.3,199,4,7,407,822,1433,20,1,1,0,3,10
798,0,0.5,0,7,1,2,0.8,148,2,15,497,627,3593,3,1,0,1,1,10
1130,1,1.8,0,0,1,27,0.9,101,1,8,1495,1579,315,11,0,0,1,0,0
1191,1,0.8,1,6,0,46,0.8,89,6,9,42,807,824,7,0,1,1,0,0
658,0,2.7,1,0,0,12,0.9,103,7,3,1156,1750,3587,20,0,1,1,2,8
1970,1,1.6,0,11,0,58,0.3,80,8,19,654,882,2372,2,0,0,1,1,8
1656,1,1,1,5,0,34,0.1,166,3,7,880,1456,1629,14,0,0,1,3,1
618,0,0.5,0,2,0,57,0.2,88,3,7,879,896,2399,17,0,0,0,3,0
973,0,1.5,1,5,0,57,0.2,190,7,16,457,1816,2977,2,0,1,1,1,0
1450,0,2.7,0,9,1,19,0.6,131,1,17,707,1882,575,12,1,1,1,0,5
769,0,1.2,1,2,1,17,0.1,95,8,4,1384,1454,1877,11,1,1,0,3,1
609,0,0.5,1,4,0,10,0.1,81,6,6,113,1524,1905,18,0,0,0,3,7
1702,0,0.5,0,8,1,2,0.6,185,6,19,921,1351,435,3,1,0,0,0,7
1281,0,2.3,0,0,1,28,0.3,148,1,6,1285,1617,1129,6,1,0,1,3,3
1379,1,1.1,0,1,0,18,0.2,129,2,16,838,885,2358,15,0,0,1,1,11
977,0,1.1,0,2,1,57,0.6,181,6,7,63,566,1206,8,1,0,0,0,3
1906,0,1.9,0,3,1,55,0.2,113,3,4,3,629,1871,4,0,1,0,3,11
980,0,0.5,1,0,0,33,0.9,160,6,0,1008,1758,2268,4,0,0,1,1,11
1552,0,2.2,1,6,0,13,0.2,123,6,9,269,1026,2403,9,0,0,0,1,5
786,1,2.2,0,0,1,33,0.5,141,7,6,507,1697,2390,5,0,1,0,1,4
993,0,2.3,0,0,1,16,0.4,106,7,13,424,1639,1113,6,1,1,0,0,3
772,0,1.2,0,7,0,8,0.6,134,7,8,552,1802,422,15,0,1,1,0,7
673,0,2.2,0,2,1,3,0.4,84,2,9,1109,1247,2719,9,0,0,0,1,4
1934,0,2.6,0,0,0,46,0.1,103,1,17,619,1299,2940,2,0,0,0,2,0
1685,1,0.6,1,14,1,16,0.6,137,7,15,120,1429,881,17,1,0,0,0,9
507,0,1.9,0,0,0,39,0.7,142,1,0,17,1084,2124,12,0,0,1,3,9
537,0,2,1,1,0,55,0.3,103,7,2,1041,1430,2029,12,0,0,0,3,2
772,0,2.4,0,1,0,10,0.5,80,4,2,1242,1712,3242,4,0,0,1,2,5
1070,0,3,1,9,1,19,0.8,160,7,16,90,1614,2647,20,1,0,1,1,9
1972,1,2.9,1,9,1,14,0.4,196,7,18,293,952,1316,8,0,0,1,3,3
1044,0,2.8,0,7,1,33,0.6,129,4,13,42,1262,1816,15,0,1,0,3,0
714,0,0.5,1,1,1,30,0.3,145,4,2,643,1527,2302,10,1,0,0,3,3
555,0,0.5,0,2,1,17,0.2,163,5,12,956,1010,343,3,1,0,0,0,2
595,1,0.9,0,7,0,23,0.1,121,3,17,441,810,3752,18,0,0,1,2,10
1362,1,0.5,1,3,1,25,0.8,131,7,9,553,1505,995,18,1,0,0,0,5
1129,0,2.8,0,0,1,49,0.5,185,2,2,1070,1079,1857,5,0,0,0,3,0
1969,1,1.2,0,9,1,63,0.2,132,4,11,390,756,298,10,0,0,1,0,1
1132,1,1,1,0,1,8,0.1,157,1,4,1091,1293,1950,6,1,0,0,3,6
1330,1,0.5,1,0,1,38,1,183,7,1,1290,1441,1733,11,0,1,0,3,10
1581,0,1,1,9,1,41,0.4,172,4,19,693,850,1384,2,1,0,0,3,2
1517,1,0.5,1,6,0,48,0.6,143,5,14,802,1489,2822,11,0,0,0,2,8
1944,0,1.8,0,0,0,31,0.8,87,4,10,1111,1362,,8,0,1,1,2,0
1035,1,0.5,0,14,0,49,0.3,178,2,15,574,1171,3991,19,0,1,1,2,5
1994,0,0.7,1,5,1,5,0.4,189,2,7,86,1546,1836,18,0,1,1,1,4
1259,1,1.2,0,0,1,13,0.5,97,2,0,1210,1989,340,4,0,1,0,0,4
1946,1,2.7,0,8,1,8,0.3,123,8,19,647,1849,3117,2,0,1,1,2,4
1597,1,2.3,1,11,1,34,0.4,89,1,14,64,1667,934,9,1,0,1,0,4
1410,0,0.5,0,0,0,15,0.3,92,3,1,192,1311,2304,18,0,0,1,1,3
578,0,2.6,0,2,0,57,0.2,162,8,8,1025,1433,1270,5,0,1,0,0,3
623,0,0.8,1,6,0,26,0.3,197,7,12,484,1238,1769,16,0,1,1,3,10
674,0,2.8,0,0,0,8,0.2,93,3,0,750,772,589,4,0,0,1,0,9
667,1,1.3,0,4,0,6,0.1,149,6,10,272,870,3566,12,0,1,0,1,10
1444,1,0.6,1,2,1,48,0.5,82,5,17,1092,1554,2540,15,0,0,0,2,1
1177,1,0.9,1,1,1,11,1,181,4,7,945,1923,1887,11,0,0,0,3,5
1330,1,1.1,1,11,1,37,0.7,126,7,20,1103,1637,2166,4,0,1,1,1,0
1645,0,1.8,1,1,1,21,0.7,123,7,2,897,1308,783,20,0,1,1,0,10
733,1,0.8,1,7,1,16,0.4,138,4,12,202,1787,2648,19,0,0,1,1,7
1571,1,1.4,1,0,0,19,0.1,100,6,1,713,1398,666,13,0,0,1,0,2
983,1,0.6,0,0,0,45,0.1,130,4,11,948,1205,2052,6,0,1,0,3,2
1851,1,2.9,1,0,1,53,0.7,112,6,2,174,1175,2678,8,0,1,1,1,4
1445,0,0.5,1,0,1,53,0.7,174,7,14,386,836,1099,20,0,1,1,0,7
1602,1,0.6,1,12,1,58,0.4,170,1,13,1259,1746,3622,17,1,0,0,2,8
1733,0,1.5,0,4,0,6,0.9,170,1,15,590,997,3488,10,0,0,0,2,10
1263,0,1.4,0,1,0,32,0.4,103,2,2,409,644,3372,10,0,0,1,2,1
948,1,1.5,0,6,1,18,0.3,119,4,7,340,1728,2926,9,0,0,0,1,0
589,0,0.5,1,1,0,59,0.7,146,8,4,759,1858,362,6,0,0,0,0,8
1660,1,2.8,0,4,1,7,0.8,184,1,6,76,1165,1531,7,1,1,1,3,5
1280,0,1.3,1,0,0,39,1,108,7,1,356,588,2335,2,0,1,0,3,4
664,1,1.5,1,5,0,6,0.9,164,2,19,1076,1472,3774,18,0,1,1,2,10
984,1,0.5,0,3,0,9,0.8,140,3,20,531,707,841,16,0,1,1,0,7
1719,0,2.1,0,0,1,52,0.1,187,3,1,417,520,2610,11,0,0,0,1,10
860,0,1.3,0,8,0,40,0.7,170,3,13,1573,1581,2832,20,0,0,0,1,8
965,0,1.5,0,5,1,13,1,109,2,14,130,998,1138,10,1,0,1,0,6
1021,1,1.3,1,7,1,9,0.7,192,2,12,901,1793,1355,14,0,0,1,3,7
862,0,0.8,0,3,1,23,0.4,165,2,15,793,1758,278,11,1,1,0,0,3
525,1,2.4,0,11,1,35,0.8,190,7,20,82,670,1609,3,1,1,1,0,10
1986,0,0.5,0,7,0,39,0.1,89,7,19,251,599,3476,17,0,0,1,2,3
1604,0,1.9,0,0,0,63,0.6,93,5,2,641,1156,1464,20,0,0,1,3,0
543,1,0.5,1,0,1,57,0.7,192,5,4,391,984,2413,15,0,1,1,3,8
1715,1,1.3,1,0,0,12,0.3,94,8,6,1224,1676,1633,5,0,0,0,1,9
1010,0,2,0,2,0,8,0.9,139,5,3,547,957,2625,12,0,0,1,1,0
1086,0,1.7,0,0,0,43,0.2,111,6,1,56,1150,3285,17,0,0,1,1,0
1514,0,1.4,1,3,0,12,0.6,138,3,4,306,538,1037,15,0,1,0,0,4
1742,0,1.6,1,3,1,49,0.8,100,1,9,1134,1469,1947,6,0,1,0,1,4
1589,1,0.6,1,0,1,5,0.8,112,5,2,776,1397,3430,19,0,0,0,2,7
1035,0,1.9,0,8,1,11,1,173,6,10,831,1709,2002,5,0,0,1,3,6
589,0,2.3,0,1,1,61,0.6,160,4,10,429,815,2113,2,0,1,0,3,4
1614,1,1.2,1,1,0,9,0.1,161,3,2,173,1219,1832,11,0,1,1,3,5
1248,1,2.4,1,6,0,9,0.4,89,3,8,71,1686,2454,13,0,0,1,1,2
1444,0,2.1,0,0,1,6,0.9,103,1,1,1274,1340,712,10,1,1,1,0,6
1724,0,1.8,1,0,0,9,0.8,100,2,1,655,828,3056,6,0,1,1,2,9
1407,0,2.4,1,1,0,22,0.7,104,4,4,1172,1217,2192,13,0,1,0,1,11
1967,1,0.5,1,0,0,46,0.6,199,1,7,518,1374,1567,7,0,0,1,3,7
1973,1,1.6,0,5,0,39,0.8,152,4,6,792,1181,1993,5,0,1,1,1,3
1063,1,1.5,1,7,1,3,0.9,155,4,10,394,849,1919,20,0,0,1,3,8
1615,0,2.8,1,3,1,9,0.9,117,1,13,542,678,2948,3,0,0,1,1,5
815,1,2,0,4,1,51,0.3,85,6,12,982,1291,3469,6,0,1,0,2,6
1299,1,2.8,0,2,1,60,0.8,187,8,6,1333,1838,1412,20,1,0,0,3,11
1306,0,2.1,0,2,0,33,0.4,174,3,9,867,1258,2521,16,0,1,1,1,9
1142,0,1.4,0,6,1,6,0.7,190,8,8,534,855,663,5,1,0,0,0,7
855,0,0.5,1,2,0,59,0.5,159,2,3,1028,1196,1875,8,0,0,0,3,2
1002,1,2.7,0,16,0,11,0.4,185,6,18,285,512,961,19,0,1,0,0,2
1695,0,0.5,0,2,0,47,0.5,189,5,13,308,1208,1629,11,0,0,1,3,6
1929,0,0.5,0,0,0,19,1,163,6,2,349,1051,1913,6,0,0,1,3,2
1307,1,1.8,1,2,1,7,0.6,88,7,3,897,1103,1412,5,1,1,0,3,8
1852,1,1.4,1,4,0,10,0.7,196,1,18,580,1163,3970,11,0,1,0,2,10
909,0,0.7,0,7,1,47,0.1,146,3,9,410,1643,1244,16,1,0,1,0,1
1156,0,2.7,0,1,0,30,0.9,173,3,16,945,1913,2735,13,0,1,0,1,4
1590,1,1.5,0,12,0,14,0.5,187,4,15,1058,1109,2836,4,0,1,1,2,8
1829,1,1.7,1,0,1,36,0.8,112,5,1,291,563,1475,7,1,1,1,3,7
1188,0,1.4,0,0,0,9,0.6,114,2,0,1339,1558,2896,16,0,1,0,2,6
1076,1,2.3,0,0,0,14,0.7,191,5,0,1088,1718,2355,2,0,0,0,1,4
536,1,2.4,0,12,0,3,0.3,182,7,14,1386,1539,284,4,0,0,1,0,11
535,1,1.5,1,1,0,48,0.7,113,1,4,290,811,740,18,0,0,1,0,3
805,1,0.8,1,1,1,34,0.6,88,6,2,1262,1538,3647,9,0,1,0,2,3
730,1,2.1,0,0,0,4,0.1,89,8,2,302,1247,1210,4,0,0,0,0,6
1497,0,0.7,1,5,1,32,0.7,92,3,9,1920,1933,1329,7,0,0,1,1,4
851,1,0.5,1,3,1,21,0.4,200,5,7,1171,1263,478,10,0,1,0,0,7
1708,0,2.4,0,18,0,49,0.1,109,1,19,233,517,3388,16,0,0,0,2,8
1768,0,2,1,0,0,2,0.8,88,7,2,1303,1814,3256,5,0,0,1,2,0
972,0,2.7,0,1,1,5,1,126,4,2,687,816,3035,19,0,1,0,1,3
1077,0,2.5,1,13,0,49,0.6,131,4,14,334,1079,3454,2,0,1,0,2,7
961,0,1.4,0,0,0,57,0.6,114,8,3,291,1434,2782,7,0,0,0,1,3
1099,1,0.5,1,13,0,61,0.3,146,3,20,393,1096,1699,3,0,0,0,3,7
842,1,2.2,1,1,1,7,0.6,188,2,2,20,756,2549,19,1,1,0,3,1
757,0,0.9,0,4,1,64,0.5,157,7,5,114,819,3433,10,0,0,1,1,1
536,0,1.4,1,0,0,53,0.7,135,3,0,547,705,1211,7,0,1,0,0,11
1239,1,1.2,0,5,0,52,0.9,122,2,10,590,661,417,6,0,1,0,0,0
1519,1,2.1,1,0,1,32,0.7,200,1,10,168,1239,2912,15,0,0,1,1,8
1303,0,2.1,1,6,0,10,0.4,109,8,15,1335,1873,2219,15,0,0,0,1,0
644,0,1.3,0,7,0,30,0.5,114,1,16,1140,1654,2382,19,0,1,0,1,3
707,1,0.5,1,0,0,16,0.1,194,2,0,1027,1508,1853,12,0,0,0,3,3
902,0,0.6,0,0,1,63,0.7,122,5,14,364,1360,3654,15,1,0,0,2,3
1442,1,1,0,0,1,27,0.1,192,3,19,231,687,2227,20,0,0,1,3,2
1604,1,1.2,1,1,1,6,0.5,191,6,15,68,1042,3564,2,0,0,1,2,1
1224,0,1.8,0,2,0,44,0.2,139,2,9,622,709,621,14,0,0,0,0,10
1766,0,0.5,0,1,1,16,0.6,141,5,7,125,1227,3314,17,1,1,0,2,5
1905,0,0.5,1,3,0,6,0.5,151,1,5,849,898,1545,10,0,0,1,3,9
1733,0,2.8,1,3,0,36,1,119,6,20,357,527,3576,9,0,1,1,2,11
1564,1,1.4,1,5,0,26,0.1,129,6,16,117,1115,3742,13,0,0,1,2,8
1159,1,2.7,1,13,0,28,0.2,80,8,18,378,751,2495,9,0,0,0,1,2
1800,0,3,1,5,1,53,0.3,87,1,12,191,1108,656,18,1,1,0,0,10
1220,1,2.9,1,3,1,62,0.5,125,4,8,403,1933,2589,15,0,0,0,1,1
1540,1,0.7,0,0,0,29,0.1,157,7,1,318,831,1161,5,0,1,1,0,1
1430,0,0.9,1,3,1,56,0.1,179,3,5,569,906,752,17,1,1,0,0,5
1554,0,0.5,0,11,1,5,1,124,3,12,395,1579,3635,18,1,1,1,2,0
640,1,1.3,0,5,0,6,0.6,143,8,20,976,1353,2711,8,0,0,1,1,11
1625,0,0.5,0,2,0,50,0.1,107,8,17,8,1219,670,8,0,1,1,0,10
1285,1,0.8,0,4,0,11,0.8,199,5,7,1791,1896,3966,2,0,0,0,2,7
915,0,0.5,0,9,0,33,0.3,199,2,16,503,986,2156,13,0,0,1,3,2
1441,1,2.1,0,11,0,3,0.1,118,8,17,577,1071,2317,7,0,1,0,1,11
803,1,0.8,0,0,1,18,0.3,106,4,1,627,935,2801,12,1,0,1,1,4
1052,1,0.9,1,1,1,6,0.8,195,4,16,1191,1839,552,11,1,1,0,0,0
666,0,0.5,0,7,0,54,0.4,81,3,13,58,1353,1254,9,0,0,0,0,4
652,0,2.4,0,9,0,17,0.7,173,5,11,77,559,1974,12,0,1,1,0,10
1054,0,1.8,0,3,0,40,0.8,196,7,10,27,774,2296,12,0,1,0,3,10
1800,0,0.7,1,2,0,8,0.4,100,7,6,400,823,3481,8,0,1,0,2,5
512,0,0.5,0,7,1,15,0.9,83,3,15,249,1849,2610,15,1,0,0,1,0
930,0,0.5,0,3,0,34,0.5,190,4,16,1050,1726,2131,6,0,1,0,1,0
1510,0,0.9,0,2,1,45,0.9,180,5,3,708,1752,3484,11,1,0,0,2,5
1498,0,1.2,0,0,0,14,0.1,191,4,1,111,1167,577,12,0,0,1,0,4
1780,0,0.5,1,6,1,27,0.1,190,4,11,1331,1463,2776,14,0,0,0,2,7
727,0,2.5,0,0,0,64,0.2,193,1,9,664,711,3654,16,0,0,1,2,9
1322,1,2.3,0,1,0,35,0.1,157,1,3,443,708,3684,6,0,1,1,2,4
987,1,1.3,0,0,0,61,0.4,107,3,9,581,820,3963,20,0,1,0,2,6
1260,1,0.6,1,5,0,13,1,106,6,6,165,736,2710,8,0,0,1,1,5
1661,1,1.9,0,5,1,23,1,172,5,10,846,1634,2676,11,1,0,0,2,11
831,1,1.7,0,7,0,26,0.7,177,5,11,511,621,1704,20,0,0,0,0,3
1494,1,1.6,0,4,0,24,0.2,101,1,17,979,1190,3614,9,0,1,1,2,10
1815,1,2.8,1,2,1,33,0.6,159,4,17,607,748,1482,2,0,1,1,3,5
